Final results using Attention-Weighted FedXgbBagging:
Total rounds: 20
Number of participating clients: 12
XGBoost params: {'objective': 'binary:logistic', 'eval_metric': 'logloss', 'seed': 62529, 'n_jobs': -1, 'max_depth': 3, 'learning_rate': 0.017462960628932028, 'n_estimators': 850, 'min_child_weight': 2, 'gamma': 0.6008466563824473, 'subsample': 0.8874331341725578, 'colsample_bytree': 0.7409548092577293, 'max_delta_step': 2}
Optimal Threshold: 0.4200
Accuracy: 0.9629326718
Detection Rate: 0.8865895686
False Positive Rate: 0.0085476698

--- Per-Round Attention Weights ---
  Client 7: DR=0.8197, FPR=0.0061, Score=0.8147
  Client 8: DR=0.8198, FPR=0.0061, Score=0.8148
  Client 9: DR=0.8190, FPR=0.0061, Score=0.8140
  Client 10: DR=0.8217, FPR=0.0061, Score=0.8167
  Client 11: DR=0.8249, FPR=0.0061, Score=0.8199
Round 9: α = [0.08326963102259313, 0.08332599988861229, 0.08332599988861229, 0.08329584260894411, 0.08338415211375164, 0.08332599988861229, 0.0834143806874114, 0.08338200757092325, 0.08329584260894411, 0.08332599988861229, 0.08332599988861229, 0.0833281439443708]
  Client 0: DR=0.8183, FPR=0.0061, Score=0.8134
  Client 1: DR=0.8190, FPR=0.0061, Score=0.8140
  Client 2: DR=0.8190, FPR=0.0061, Score=0.8140
  Client 3: DR=0.8190, FPR=0.0065, Score=0.8137
  Client 4: DR=0.8201, FPR=0.0065, Score=0.8147
  Client 5: DR=0.8190, FPR=0.0061, Score=0.8140
  Client 6: DR=0.8201, FPR=0.0061, Score=0.8151
  Client 7: DR=0.8201, FPR=0.0065, Score=0.8147
  Client 8: DR=0.8190, FPR=0.0065, Score=0.8137
  Client 9: DR=0.8190, FPR=0.0061, Score=0.8140
  Client 10: DR=0.8190, FPR=0.0061, Score=0.8140
  Client 11: DR=0.8191, FPR=0.0061, Score=0.8141
Round 10: α = [0.08331528137618281, 0.08331528137618281, 0.08337429797918187, 0.08331528137618281, 0.08331528137618281, 0.08331528137618281, 0.08337708456049109, 0.08337708456049109, 0.08331528137618281, 0.08334649620496275, 0.08331528137618281, 0.08331806706159364]
  Client 0: DR=0.8475, FPR=0.0065, Score=0.8420
  Client 1: DR=0.8475, FPR=0.0065, Score=0.8420
  Client 2: DR=0.8486, FPR=0.0069, Score=0.8427
  Client 3: DR=0.8475, FPR=0.0065, Score=0.8420
  Client 4: DR=0.8475, FPR=0.0065, Score=0.8420
  Client 5: DR=0.8475, FPR=0.0065, Score=0.8420
  Client 6: DR=0.8486, FPR=0.0069, Score=0.8428
  Client 7: DR=0.8486, FPR=0.0069, Score=0.8428
  Client 8: DR=0.8475, FPR=0.0065, Score=0.8420
  Client 9: DR=0.8475, FPR=0.0061, Score=0.8424
  Client 10: DR=0.8475, FPR=0.0065, Score=0.8420
  Client 11: DR=0.8476, FPR=0.0065, Score=0.8420
