config,num_seeds,accuracy_mean,accuracy_std,detection_rate_mean,detection_rate_std,false_positive_rate_mean,false_positive_rate_std
FedRF/RandomForest/non-iid/12/frac_0.4,3,0.949602,0.001710,0.889339,0.001596,0.007533,0.001827
FedRF/RandomForest/non-iid/12/frac_1.0,3,0.949602,0.001710,0.889339,0.001596,0.007533,0.001827
FedRF/RandomForest/non-iid/16/frac_0.4,3,0.941158,0.001099,0.870023,0.003097,0.008244,0.000716
FedRF/RandomForest/non-iid/16/frac_1.0,3,0.941158,0.001099,0.870023,0.003097,0.008244,0.000716
FedRF/RandomForest/non-iid/2/frac_0.4,3,0.959140,0.001447,0.914953,0.004846,0.009430,0.003633
FedRF/RandomForest/non-iid/2/frac_1.0,3,0.959140,0.001447,0.914953,0.004846,0.009430,0.003633
FedRF/RandomForest/non-iid/20/frac_0.4,3,0.943183,0.002416,0.874713,0.006134,0.008115,0.000620
FedRF/RandomForest/non-iid/20/frac_1.0,3,0.943183,0.002416,0.874713,0.006134,0.008115,0.000620
FedRF/RandomForest/non-iid/4/frac_0.4,3,0.952757,0.009303,0.897883,0.019558,0.008211,0.002208
FedRF/RandomForest/non-iid/4/frac_1.0,3,0.952757,0.009303,0.897883,0.019558,0.008211,0.002208
FedRF/RandomForest/non-iid/8/frac_0.4,3,0.948345,0.005674,0.881614,0.013654,0.004189,0.000788
FedRF/RandomForest/non-iid/8/frac_1.0,3,0.948345,0.005674,0.881614,0.013654,0.004189,0.000788
FedXgbBagging/XGBoost/iid/12/frac_1.0,3,0.600413,0.022267,0.980357,0.009073,0.669840,0.038311
FedXgbBagging/XGBoost/iid/16/frac_1.0,3,0.507150,0.015205,0.989965,0.006500,0.836276,0.025883
FedXgbBagging/XGBoost/iid/2/frac_1.0,3,0.960470,0.000084,0.914544,0.000687,0.006863,0.000372
FedXgbBagging/XGBoost/iid/20/frac_1.0,3,0.596432,0.234912,0.938556,0.071288,0.646921,0.452712
FedXgbBagging/XGBoost/iid/4/frac_1.0,3,0.961294,0.000098,0.912895,0.001868,0.004280,0.001489
FedXgbBagging/XGBoost/iid/8/frac_1.0,3,0.891795,0.085369,0.915275,0.025703,0.124906,0.163438
